Country,Code,Year,Consumption Change (TW)
Belarus,BLR,1991,-4.798
Belarus,BLR,1992,-23.694
Belarus,BLR,1993,-82.851
Belarus,BLR,1994,-55.542
Belarus,BLR,1995,-25.739
Belarus,BLR,1996,6.397
Belarus,BLR,1997,2.572
Belarus,BLR,1998,-5.61
Belarus,BLR,1999,-6.77
Belarus,BLR,2000,6.846
Belarus,BLR,2001,-6.44
Belarus,BLR,2002,7.413
Belarus,BLR,2003,-1.142
Belarus,BLR,2004,32.231
Belarus,BLR,2005,-1.034
Belarus,BLR,2006,17.817
Belarus,BLR,2007,-7.177
Belarus,BLR,2008,3.361
Belarus,BLR,2009,-15.864
Belarus,BLR,2010,17.393
Belarus,BLR,2011,-1.659
Belarus,BLR,2012,24.134
Belarus,BLR,2013,-38.473
Belarus,BLR,2014,9.602
Belarus,BLR,2015,-27.114
Belarus,BLR,2016,-1.615
Belarus,BLR,2017,4.366
Belarus,BLR,2018,24.229
Belarus,BLR,2019,-4.784
Belarus,BLR,2020,-19.94
Belgium,BEL,1966,-15.179
Belgium,BEL,1967,19.727
Belgium,BEL,1968,47.838
Belgium,BEL,1969,45.51
Belgium,BEL,1970,28.67
Belgium,BEL,1971,-9.764
Belgium,BEL,1972,33.231
Belgium,BEL,1973,7.065
Belgium,BEL,1974,-19.926
Belgium,BEL,1975,-51.345
Belgium,BEL,1976,22.634
Belgium,BEL,1977,-5.323
Belgium,BEL,1978,22.445
Belgium,BEL,1979,19.539
Belgium,BEL,1980,-28.539
Belgium,BEL,1981,-28.965
Belgium,BEL,1982,-30.452
Belgium,BEL,1983,-39.797
Belgium,BEL,1984,12.137
Belgium,BEL,1985,3.528
Belgium,BEL,1986,3.379
Belgium,BEL,1987,9.309
Belgium,BEL,1988,8.384
Belgium,BEL,1989,9.843
Belgium,BEL,1990,22.337
Belgium,BEL,1991,21.185
Belgium,BEL,1992,-3.291
Belgium,BEL,1993,-5.657
Belgium,BEL,1994,36.147
Belgium,BEL,1995,5.916
Belgium,BEL,1996,36.461
Belgium,BEL,1997,-4.245
Belgium,BEL,1998,17.126
Belgium,BEL,1999,-13.639
Belgium,BEL,2000,15.057
Belgium,BEL,2001,-0.595
Belgium,BEL,2002,-5.582
Belgium,BEL,2003,28.825
Belgium,BEL,2004,3.025
Belgium,BEL,2005,-10.369
Belgium,BEL,2006,2.922
Belgium,BEL,2007,0.098
Belgium,BEL,2008,17.366
Belgium,BEL,2009,-58.54
Belgium,BEL,2010,40.946
Belgium,BEL,2011,-55.873
Belgium,BEL,2012,-13.933
Belgium,BEL,2013,10.378
Belgium,BEL,2014,-28.628
Belgium,BEL,2015,25.305
Belgium,BEL,2016,6.891
Belgium,BEL,2017,7.614
Belgium,BEL,2018,26.187
Belgium,BEL,2019,-20.095
Belgium,BEL,2020,-121.008
Brazil,BRA,1966,17.84
Brazil,BRA,1967,7.005
Brazil,BRA,1968,39.882
Brazil,BRA,1969,25.992
Brazil,BRA,1970,38.232
Brazil,BRA,1971,31.031
Brazil,BRA,1972,51.363
Brazil,BRA,1973,87.09
Brazil,BRA,1974,40.157
Brazil,BRA,1975,22.453
Brazil,BRA,1976,45.44
Brazil,BRA,1977,24.631
Brazil,BRA,1978,59.79
Brazil,BRA,1979,37.438
Brazil,BRA,1980,-15.303
Brazil,BRA,1981,-31.573
Brazil,BRA,1982,16.01
Brazil,BRA,1983,-17.541
Brazil,BRA,1984,28.747
Brazil,BRA,1985,31.893
Brazil,BRA,1986,67.96
Brazil,BRA,1987,28.118
Brazil,BRA,1988,14.822
Brazil,BRA,1989,5.132
Brazil,BRA,1990,-25.384
Brazil,BRA,1991,25.329
Brazil,BRA,1992,54.85
Brazil,BRA,1993,40.305
Brazil,BRA,1994,59.965
Brazil,BRA,1995,47.65
Brazil,BRA,1996,65.044
Brazil,BRA,1997,74.856
Brazil,BRA,1998,42.161
Brazil,BRA,1999,29.799
Brazil,BRA,2000,12.417
Brazil,BRA,2001,40.364
Brazil,BRA,2002,-3.627
Brazil,BRA,2003,-7.743
Brazil,BRA,2004,71.394
Brazil,BRA,2005,24.111
Brazil,BRA,2006,28.656
Brazil,BRA,2007,57.795
Brazil,BRA,2008,90.445
Brazil,BRA,2009,-91.395
Brazil,BRA,2010,212.851
Brazil,BRA,2011,90.17
Brazil,BRA,2012,91.267
Brazil,BRA,2013,151.465
Brazil,BRA,2014,81.832
Brazil,BRA,2015,-70.927
Brazil,BRA,2016,-151.081
Brazil,BRA,2017,36.49
Brazil,BRA,2018,-72.833
Brazil,BRA,2019,12.272
Brazil,BRA,2020,-111.857
Bulgaria,BGR,1966,8.61
Bulgaria,BGR,1967,20.74
Bulgaria,BGR,1968,19.717
Bulgaria,BGR,1969,17.551
Bulgaria,BGR,1970,22.365
Bulgaria,BGR,1971,8.585
Bulgaria,BGR,1972,6.543
Bulgaria,BGR,1973,7.351
Bulgaria,BGR,1974,5.773
Bulgaria,BGR,1975,19.565
Bulgaria,BGR,1976,7.3
Bulgaria,BGR,1977,10.883
Bulgaria,BGR,1978,12.255
Bulgaria,BGR,1979,9.677
Bulgaria,BGR,1980,16.592
Bulgaria,BGR,1981,-13.059
Bulgaria,BGR,1982,5.154
Bulgaria,BGR,1983,-3.055
Bulgaria,BGR,1984,-2.887
Bulgaria,BGR,1985,-0.669
Bulgaria,BGR,1986,9.503
Bulgaria,BGR,1987,0.998
Bulgaria,BGR,1988,-2.299
Bulgaria,BGR,1989,0.793
Bulgaria,BGR,1990,-24.728
Bulgaria,BGR,1991,-59.623
Bulgaria,BGR,1992,-10.29
Bulgaria,BGR,1993,9.429
Bulgaria,BGR,1994,-12.217
Bulgaria,BGR,1995,11.269
Bulgaria,BGR,1996,-5.202
Bulgaria,BGR,1997,-12.666
Bulgaria,BGR,1998,-8.981
Bulgaria,BGR,1999,-27.003
Bulgaria,BGR,2000,-4.016
Bulgaria,BGR,2001,6.522
Bulgaria,BGR,2002,-8.113
Bulgaria,BGR,2003,14.339
Bulgaria,BGR,2004,-5.984
Bulgaria,BGR,2005,10.077
Bulgaria,BGR,2006,2.919
Bulgaria,BGR,2007,9.555
Bulgaria,BGR,2008,-6.667
Bulgaria,BGR,2009,-29.376
Bulgaria,BGR,2010,3.004
Bulgaria,BGR,2011,15.814
Bulgaria,BGR,2012,-14.163
Bulgaria,BGR,2013,-15.823
Bulgaria,BGR,2014,8.056
Bulgaria,BGR,2015,10.802
Bulgaria,BGR,2016,-8.294
Bulgaria,BGR,2017,8.139
Bulgaria,BGR,2018,-9.641
Bulgaria,BGR,2019,-3.843
Bulgaria,BGR,2020,-15.894
Canada,CAN,1966,51.449
Canada,CAN,1967,58.908
Canada,CAN,1968,90.398
Canada,CAN,1969,58.168
Canada,CAN,1970,99.6
Canada,CAN,1971,36.631
Canada,CAN,1972,82.064
Canada,CAN,1973,116.964
Canada,CAN,1974,25.089
Canada,CAN,1975,-4.191
Canada,CAN,1976,61.827
Canada,CAN,1977,90.017
Canada,CAN,1978,-9.989
Canada,CAN,1979,37.543
Canada,CAN,1980,23.019
Canada,CAN,1981,-67.568
Canada,CAN,1982,-52.696
Canada,CAN,1983,-67.42
Canada,CAN,1984,95.193
Canada,CAN,1985,17.821
Canada,CAN,1986,-24.112
Canada,CAN,1987,57.781
Canada,CAN,1988,128.709
Canada,CAN,1989,87.678
Canada,CAN,1990,-116.355
Canada,CAN,1991,-55.836
Canada,CAN,1992,68.08
Canada,CAN,1993,18.711
Canada,CAN,1994,62.385
Canada,CAN,1995,86.044
Canada,CAN,1996,44.48
Canada,CAN,1997,61.497
Canada,CAN,1998,29.833
Canada,CAN,1999,61.946
Canada,CAN,2000,63.421
Canada,CAN,2001,-6.569
Canada,CAN,2002,78.981
Canada,CAN,2003,66.404
Canada,CAN,2004,13.58
Canada,CAN,2005,-31.271
Canada,CAN,2006,-7.858
Canada,CAN,2007,107.849
Canada,CAN,2008,-64.358
Canada,CAN,2009,-114.042
Canada,CAN,2010,76.587
Canada,CAN,2011,65.308
Canada,CAN,2012,-7.955
Canada,CAN,2013,46.989
Canada,CAN,2014,32.952
Canada,CAN,2015,4.865
Canada,CAN,2016,-58.533
Canada,CAN,2017,31.222
Canada,CAN,2018,69.858
Canada,CAN,2019,22.139
Canada,CAN,2020,-235.307
Chile,CHL,1966,4.623
Chile,CHL,1967,1.269
Chile,CHL,1968,1.724
Chile,CHL,1969,4.793
Chile,CHL,1970,3.923
Chile,CHL,1971,5.683
Chile,CHL,1972,0.615
Chile,CHL,1973,-3.444
Chile,CHL,1974,-3.167
Chile,CHL,1975,-9.543
Chile,CHL,1976,3.758
Chile,CHL,1977,2.294
Chile,CHL,1978,4.676
Chile,CHL,1979,2.749
Chile,CHL,1980,2.125
Chile,CHL,1981,1.965
Chile,CHL,1982,-11.396
Chile,CHL,1983,0.567
Chile,CHL,1984,3.728
Chile,CHL,1985,-1.531
Chile,CHL,1986,2.495
Chile,CHL,1987,2.816
Chile,CHL,1988,14.377
Chile,CHL,1989,19.268
Chile,CHL,1990,10.467
Chile,CHL,1991,6.658
Chile,CHL,1992,6.305
Chile,CHL,1993,9.601
Chile,CHL,1994,10.824
Chile,CHL,1995,12.234
Chile,CHL,1996,18.614
Chile,CHL,1997,29.078
Chile,CHL,1998,11.163
Chile,CHL,1999,17.696
Chile,CHL,2000,1.534
Chile,CHL,2001,-5.613
Chile,CHL,2002,6.818
Chile,CHL,2003,0.428
Chile,CHL,2004,20.109
Chile,CHL,2005,1.71
Chile,CHL,2006,17.894
Chile,CHL,2007,20.778
Chile,CHL,2008,-10.447
Chile,CHL,2009,-9.291
Chile,CHL,2010,10.29
Chile,CHL,2011,33.449
Chile,CHL,2012,5.736
Chile,CHL,2013,2.428
Chile,CHL,2014,-14.108
Chile,CHL,2015,2.668
Chile,CHL,2016,24.051
Chile,CHL,2017,-8.679
Chile,CHL,2018,6.051
Chile,CHL,2019,9.325
Chile,CHL,2020,-26.273
China,CHN,1966,131.964
China,CHN,1967,-159.066
China,CHN,1968,5.317
China,CHN,1969,327.341
China,CHN,1970,514.213
China,CHN,1971,423.528
China,CHN,1972,207.252
China,CHN,1973,156.596
China,CHN,1974,85.533
China,CHN,1975,387.956
China,CHN,1976,192.66
China,CHN,1977,344.589
China,CHN,1978,415.48
China,CHN,1979,124.033
China,CHN,1980,66.317
China,CHN,1981,-85.559
China,CHN,1982,186.992
China,CHN,1983,287.981
China,CHN,1984,387.365
China,CHN,1985,450.501
China,CHN,1986,290.84
China,CHN,1987,492.61
China,CHN,1988,492.258
China,CHN,1989,344.199
China,CHN,1990,78.522
China,CHN,1991,408.946
China,CHN,1992,427.307
China,CHN,1993,613.475
China,CHN,1994,502.764
China,CHN,1995,243.057
China,CHN,1996,549.806
China,CHN,1997,37.552
China,CHN,1998,8.082
China,CHN,1999,389.579
China,CHN,2000,318.668
China,CHN,2001,513.58
China,CHN,2002,1066.522
China,CHN,2003,2196.731
China,CHN,2004,2478.863
China,CHN,2005,2386.442
China,CHN,2006,1909.564
China,CHN,2007,1844.542
China,CHN,2008,488.646
China,CHN,2009,1140.783
China,CHN,2010,1559.4
China,CHN,2011,2256.202
China,CHN,2012,699.468
China,CHN,2013,941.796
China,CHN,2014,414.563
China,CHN,2015,145.399
China,CHN,2016,175.76
China,CHN,2017,738.707
China,CHN,2018,811.16
China,CHN,2019,675.055
China,CHN,2020,512.498
Colombia,COL,1966,6.819
Colombia,COL,1967,4.955
Colombia,COL,1968,4.084
Colombia,COL,1969,0.342
Colombia,COL,1970,8.274
Colombia,COL,1971,-3.082
Colombia,COL,1972,12.581
Colombia,COL,1973,-1.936
Colombia,COL,1974,13
Colombia,COL,1975,-0.09
Colombia,COL,1976,4.89
Colombia,COL,1977,2.972
Colombia,COL,1978,6.667
Colombia,COL,1979,7.389
Colombia,COL,1980,-0.207
Colombia,COL,1981,4.961
Colombia,COL,1982,5.938
Colombia,COL,1983,9.788
Colombia,COL,1984,0.582
Colombia,COL,1985,4.858
Colombia,COL,1986,-0.752
Colombia,COL,1987,14.789
Colombia,COL,1988,-3.372
Colombia,COL,1989,6.806
Colombia,COL,1990,-19.084
Colombia,COL,1991,8.907
Colombia,COL,1992,26.706
Colombia,COL,1993,11.439
Colombia,COL,1994,9.912
Colombia,COL,1995,5.017
Colombia,COL,1996,-0.96
Colombia,COL,1997,20.919
Colombia,COL,1998,3.126
Colombia,COL,1999,-33.533
Colombia,COL,2000,-0.156
Colombia,COL,2001,-6.64
Colombia,COL,2002,-6.947
Colombia,COL,2003,5.116
Colombia,COL,2004,0.314
Colombia,COL,2005,-1.127
Colombia,COL,2006,28.216
Colombia,COL,2007,-3.027
Colombia,COL,2008,24.068
Colombia,COL,2009,4.743
Colombia,COL,2010,18.809
Colombia,COL,2011,-8.914
Colombia,COL,2012,31.445
Colombia,COL,2013,12.417
Colombia,COL,2014,20.88
Colombia,COL,2015,5.474
Colombia,COL,2016,19.19
Colombia,COL,2017,-17.127
Colombia,COL,2018,10.488
Colombia,COL,2019,21.625
Colombia,COL,2020,-12.725
Croatia,HRV,1991,-21.782
Croatia,HRV,1992,0.225
Croatia,HRV,1993,2.848
Croatia,HRV,1994,-1.718
Croatia,HRV,1995,2.244
Croatia,HRV,1996,-0.055
Croatia,HRV,1997,5.085
Croatia,HRV,1998,4.85
Croatia,HRV,1999,-0.478
Croatia,HRV,2000,-2.954
Croatia,HRV,2001,2.956
Croatia,HRV,2002,4.121
Croatia,HRV,2003,5.948
Croatia,HRV,2004,-1.946
Croatia,HRV,2005,0.521
Croatia,HRV,2006,-0.033
Croatia,HRV,2007,5.981
Croatia,HRV,2008,-3.612
Croatia,HRV,2009,-5.909
Croatia,HRV,2010,-3.051
Croatia,HRV,2011,-2.643
Croatia,HRV,2012,-7.004
Croatia,HRV,2013,-2.428
Croatia,HRV,2014,-1.698
Croatia,HRV,2015,1.715
Croatia,HRV,2016,1.724
Croatia,HRV,2017,3.453
Croatia,HRV,2018,-3.959
Croatia,HRV,2019,1.003
Croatia,HRV,2020,-3.648
Cyprus,CYP,1966,0.658
Cyprus,CYP,1967,0.449
Cyprus,CYP,1968,0.64
Cyprus,CYP,1969,1.163
Cyprus,CYP,1970,0.415
Cyprus,CYP,1971,1.544
Cyprus,CYP,1972,1.189
Cyprus,CYP,1973,0.782
Cyprus,CYP,1974,-1.306
Cyprus,CYP,1975,-1.683
Cyprus,CYP,1976,0.143
Cyprus,CYP,1977,1.124
Cyprus,CYP,1978,0.248
Cyprus,CYP,1979,0.148
Cyprus,CYP,1980,0.086
Cyprus,CYP,1981,-0.422
Cyprus,CYP,1982,1.958
Cyprus,CYP,1983,0.617
Cyprus,CYP,1984,0.182
Cyprus,CYP,1985,0.953
Cyprus,CYP,1986,0.578
Cyprus,CYP,1987,3.137
Cyprus,CYP,1988,0.564
Cyprus,CYP,1989,0.467
Cyprus,CYP,1990,0.963
Cyprus,CYP,1991,0.238
Cyprus,CYP,1992,3.285
Cyprus,CYP,1993,0.893
Cyprus,CYP,1994,0.042
Cyprus,CYP,1995,1.498
Cyprus,CYP,1996,0.374
Cyprus,CYP,1997,0.247
Cyprus,CYP,1998,1.595
Cyprus,CYP,1999,1.434
Cyprus,CYP,2000,1.38
Cyprus,CYP,2001,0.349
Cyprus,CYP,2002,-0.424
Cyprus,CYP,2003,1.902
Cyprus,CYP,2004,-0.862
Cyprus,CYP,2005,3.764
Cyprus,CYP,2006,-0.583
Cyprus,CYP,2007,0.558
Cyprus,CYP,2008,0.677
Cyprus,CYP,2009,-0.913
Cyprus,CYP,2010,-1.056
Cyprus,CYP,2011,-0.648
Cyprus,CYP,2012,-2.334
Cyprus,CYP,2013,-3.503
Cyprus,CYP,2014,0.106
Cyprus,CYP,2015,0.674
Cyprus,CYP,2016,2.501
Cyprus,CYP,2017,0.84
Cyprus,CYP,2018,-0.207
Cyprus,CYP,2019,-0.123
Cyprus,CYP,2020,-4.617
Czechia,CZE,1966,3.885
Czechia,CZE,1967,-6.73
Czechia,CZE,1968,21.22
Czechia,CZE,1969,21.438
Czechia,CZE,1970,19.823
Czechia,CZE,1971,28.315
Czechia,CZE,1972,2.979
Czechia,CZE,1973,3.86
Czechia,CZE,1974,3.825
Czechia,CZE,1975,23.143
Czechia,CZE,1976,17.517
Czechia,CZE,1977,18.379
Czechia,CZE,1978,9.159
Czechia,CZE,1979,5.338
Czechia,CZE,1980,-20.587
Czechia,CZE,1981,-3.611
Czechia,CZE,1982,-6.065
Czechia,CZE,1983,0.45
Czechia,CZE,1984,18.432
Czechia,CZE,1985,-3.181
Czechia,CZE,1986,-4.209
Czechia,CZE,1987,0.044
Czechia,CZE,1988,0.777
Czechia,CZE,1989,-20.473
Czechia,CZE,1990,-88.305
Czechia,CZE,1991,-47.607
Czechia,CZE,1992,-15.94
Czechia,CZE,1993,-5.559
Czechia,CZE,1994,-14.226
Czechia,CZE,1995,19.845
Czechia,CZE,1996,15.336
Czechia,CZE,1997,-19.558
Czechia,CZE,1998,-15.425
Czechia,CZE,1999,-21.024
Czechia,CZE,2000,24.928
Czechia,CZE,2001,7.091
Czechia,CZE,2002,-10.81
Czechia,CZE,2003,11.604
Czechia,CZE,2004,10.289
Czechia,CZE,2005,-4.102
Czechia,CZE,2006,5.353
Czechia,CZE,2007,-5.406
Czechia,CZE,2008,-12.683
Czechia,CZE,2009,-25.821
Czechia,CZE,2010,15.215
Czechia,CZE,2011,-16.642
Czechia,CZE,2012,-9.64
Czechia,CZE,2013,-13.492
Czechia,CZE,2014,-9.02
Czechia,CZE,2015,-0.178
Czechia,CZE,2016,1.147
